RegionRank	Rank	Name	Rating
1184	2431	Car	1595.225
1187	2436	Juan	1595.146
1188	2440	Cesar	1595.011
1189	2441	Benjamin	1594.962
1190	2445	cedrico	1594.861
1192	2450	Char♡	1594.614
1193	2452	Reckoner	1594.536
1196	2457	Cozy Snail	1594.324
1199	2466	ΦΚΨ	1593.732
1201	2470	x	1593.654
1202	2472	Rahzar	1593.602
1203	2475	Dysi	1593.517
1204	2476	Zachary	1593.516
1205	2479	ALE	1593.456
1206	2480	Hozza	1593.45
1207	2481	Jack	1593.408
1209	2488	PTP	1593.162
1210	2489	Pol	1593.128
1211	2492	Spicer	1593.043
1213	2494	Maple	1593.019
1214	2497	ASH★	1592.917
1215	2497	El Taco	1592.917
1216	2501	Davi	1592.692
1217	2502	Foo	1592.682
1218	2505	Colin	1592.603
1219	2506	Zoryaaa	1592.598
1221	2511	LackieLackey	1592.381
1223	2513	zgr	1592.331
1224	2514	Gallant	1592.299
1226	2518	ButlerJr	1592.018
1228	2523	Lost	1591.878
1229	2524	Rafayyh	1591.853
1230	2526	Donita♥	1591.806
1231	2527	Osirus	1591.796
1232	2529	Beluga	1591.716
1237	2544	Red	1591.259
1238	2545	John Paul	1591.257
1239	2546	>BillaVGC<	1591.202
1240	2547	Kepp	1591.179
1243	2551	Erick	1591.111
1244	2552	Stobert	1591.099
1245	2553	Olivia	1591.098
1246	2555	Platinum	1591.074
1248	2563	Isaac	1590.895
1249	2564	Noguerol	1590.885
1251	2567	Kingslayer	1590.776
1252	2569	diego 2	1590.697
1253	2575	Isaac	1590.484
1254	2577	Joker	1590.403
1256	2581	Anthony	1590.321
1259	2586	Dael	1590.219
1260	2590	Max	1590.083
1262	2592	Wyrm	1589.973
1263	2595	Andrew	1589.882
1264	2596	Cian	1589.855
1265	2597	GuaxiVGC	1589.837
1266	2598	Jim	1589.812
1267	2599	Robin	1589.779
1269	2606	Josh	1589.629
1270	2608	Matt	1589.56
1272	2613	EndeR	1589.438
1273	2614	Legion	1589.362
1274	2615	Tiff Curry	1589.285
1275	2618	Sean	1589.057
1276	2619	Colton	1589.026
1278	2621	Bananarchy	1588.835
1279	2622	King Julian	1588.822
1281	2629	Daniel	1588.687
1284	2632	Mestegio	1588.615
1285	2633	Stark	1588.612
1286	2639	MiniBerg10	1588.438
1288	2641	Burst	1588.435
1290	2644	Lil Bo Peep	1588.348
1292	2646	Al	1588.266
1293	2647	Tom	1588.256
1295	2651	LittleBig	1588.112
1296	2654	NidoRich	1588.07
1298	2658	tuupke	1587.968
1299	2659	Damoria	1587.96
1300	2661	Justin	1587.909
1301	2662	Hitsuy	1587.902
1303	2665	Granmpa	1587.772
1304	2668	Merks	1587.734
1307	2677	Meerkat	1587.606
1308	2678	JPie	1587.539
1309	2679	Frogstar	1587.525
1310	2683	Boyt	1587.398
1311	2684	Alice	1587.382
1312	2685	B e n	1587.361
1313	2686	Harry Scary	1587.341
1314	2687	Tano	1587.322
1315	2691	Zack	1587.184
1317	2697	Rulo	1587.067
1319	2699	eric	1587.026
1320	2702	Cano	1586.971
1321	2704	Kai	1586.914
1322	2706	Quez	1586.773
1324	2708	Edem	1586.731
1325	2712	Jack	1586.549
1326	2713	Elvis	1586.516
1330	2718	J	1586.408
1331	2721	JASON	1586.375
1332	2722	Kdan_7	1586.374
1333	2723	Benz John	1586.33
1334	2725	Alchem1st	1586.32
1335	2726	Giggsy	1586.312
1338	2732	Saltsizzle	1586.11
1341	2737	Jwanie	1586.014
1345	2743	Jon	1585.946
1346	2744	Ylle D.Dolle	1585.924
1347	2746	Avidor	1585.847
1348	2747	Tendy	1585.843
1349	2748	Droeloe	1585.808
1350	2749	Daravone	1585.806
1351	2751	Yumi	1585.804
1352	2753	Vani	1585.772
1353	2754	Ohm	1585.76
1354	2755	Daniel	1585.72
1355	2758	Louis	1585.586
1356	2760	Josta	1585.557
1358	2762	Chin×chan	1585.283
1359	2764	Sora	1585.136
1360	2765	Inosuke	1585.129
1361	2767	KastyTP	1585.097
1362	2768	Silents	1585.021
1364	2772	DanielAcorn	1584.937
1366	2775	Andrew	1584.858
1367	2778	Rico	1584.784
1368	2780	Star	1584.78
1369	2781	Scott	1584.761
1370	2785	Albus	1584.731
1371	2786	Lumina	1584.708
1372	2788	DiTonetti	1584.644
1373	2789	Rod	1584.633
